movie_or_serie,title,release_year,duration_seconds,channel_streaming,action,comedy,adventure,animation,anime,drama,international,kids,horror
Movie,Duck the Halls: A Mickey Mouse Christmas Special,2016,23 min,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Ernest Saves Christmas,1988,91 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Ice Age: A Mammoth Christmas,2011,23 min,disney_plus,0,1,0,1,0,0,0,0,0
Movie,The Queen Family Singalong,2021,41 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,The Beatles: Get Back,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Becoming Cousteau,2021,94 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Hawkeye,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Port Protection Alaska,2015,2 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Secrets of the Zoo: Tampa,2019,2 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
Movie,A Muppets Christmas: Letters To Santa,2008,45 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Adventure Thru the Walt Disney Archives,2020,59 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Puppy for Hanukkah,2020,4 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,The Pixar Story,2007,91 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,"Dr. Oakley, Yukon Vet",2013,10 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
Movie,America the Beautiful,2021,2 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Baymax!,2021,1 min,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Ciao Alberto,2021,8 min,disney_plus,0,1,0,1,0,0,0,0,0
TV Show,Disney Fancy Nancy,2018,3 Seasons,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Disney Intertwined,2021,1 Season,disney_plus,0,1,0,0,0,1,0,0,0
Movie,Enchanted,2007,110 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Feast,2014,8 min,disney_plus,0,1,0,1,0,1,0,0,0
Movie,Frozen Fever,2015,11 min,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Get a Horse!,2013,7 min,disney_plus,0,1,0,1,0,0,0,0,0
Movie,Home Sweet Home Alone,2021,95 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Jungle Cruise,2021,129 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Limitless with Chris Hemsworth,2021,2 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Marvel Studios’ 2021 Disney+ Day Special,2021,14 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Obi-Wan Kenobi,2021,1 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Olaf Presents,2021,1 Season,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Paperman,2012,7 min,disney_plus,0,1,0,1,0,0,0,0,0
Movie,Pixar 2021 Disney+ Day Special,2021,5 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Shang-Chi and The Legend of The Ten Rings,2021,134 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Spin,2021,94 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Tangled Ever After,2012,9 min,disney_plus,0,0,0,1,0,0,0,0,0
Movie,The Ballad of Nessie,2011,8 min,disney_plus,0,0,0,1,0,0,0,0,0
Movie,The Little Matchgirl,2006,7 min,disney_plus,0,0,0,1,0,1,0,0,0
Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,2021,30 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,The Proud Family: Louder and Prouder,2021,1 min,disney_plus,0,1,0,1,0,0,0,0,0
Movie,The Simpsons in Plusaversary,2021,6 min,disney_plus,0,1,0,1,0,0,0,0,0
Movie,Tick Tock Tale,2010,6 min,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Under the Helmet: The Legacy of Boba Fett,2021,22 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Willow,2021,3 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Alvin and the Chipmunks: Chipwrecked,2011,87 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Jingle All The Way,1996,90 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Jingle All the Way 2,2014,91 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Prep & Landing: Operation Secret Santa,2010,8 min,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Santa Buddies: The Legend of Santa Paws,2009,93 min,disney_plus,0,1,0,0,0,0,0,1,0
Movie,Snow Buddies,2008,91 min,disney_plus,0,1,0,0,0,0,0,1,0
Movie,Space Buddies,2009,87 min,disney_plus,0,1,0,0,0,0,0,1,0
Movie,The Search for Santa Paws,2010,101 min,disney_plus,0,0,0,0,0,1,0,0,0
